project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
pvtrace,Optical ray tracing for luminescent materials and spectral converter photovoltaic devices.,danieljfarrell,https://github.com/danieljfarrell/pvtrace.git,github,"python,photovoltaics,raytracing,optics,energy",Photovoltaics and Solar Energy,"2021/03/30, 17:10:12",84,1,7,true,Python,,,Python,,"2011/01/05, 14:28:41",4252,CUSTOM,0,185,"2021/02/18, 13:43:32",12,21,44,2,555,4,0.5,0.025316455696202556,"2020/11/18, 23:04:23",2.1.6,0,5,false,,false,false,danieljfarrell/pvtrace,,,,,,,,,,
SolarPILOT,Solar power tower layout and optimization tool.,NREL,https://github.com/NREL/SolarPILOT.git,github,,Photovoltaics and Solar Energy,"2022/08/08, 21:06:33",26,0,7,true,C++,National Renewable Energy Laboratory,NREL,"C++,HTML,Python,Rich Text Format,CSS,C,CMake,Inno Setup,JavaScript,TeX,Makefile,Shell",https://www.nrel.gov/csp/solarpilot.html,"2017/03/24, 18:22:25",1982,CUSTOM,10,295,"2022/08/08, 19:28:42",16,39,68,5,19,3,0.0,0.06153846153846154,"2019/01/03, 19:40:08",v1.3.2,0,2,false,,false,true,,,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
solar-data-tools,Data analysis tools for working with historical PV solar time-series data sets.,slacgismo,https://github.com/slacgismo/solar-data-tools.git,github,,Photovoltaics and Solar Energy,"2022/08/04, 20:46:41",27,6,4,true,Jupyter Notebook,SLAC GISMo,slacgismo,"Jupyter Notebook,Python,Shell",,"2019/02/17, 00:28:25",1287,BSD-2-Clause,272,803,"2022/08/04, 20:47:03",6,71,78,26,23,3,0.8,0.32842415316642126,"2022/08/04, 20:48:28",v0.7.0,0,8,false,,false,true,"slacgismo/gismo-cloud-deploy,slacgismo/pv-system-profiler,DuraMAT/pvpro,slacgismo/solar-data-pipeline,slacgismo/StatisticalClearSky,tadatoshi/StatisticalClearSky",,https://github.com/slacgismo,https://gismo.slac.stanford.edu/,"SLAC National Accelerator Laboratory, Menlo Park, CA 94025",,,https://avatars.githubusercontent.com/u/19895500?v=4,,,
SolarPV-DER-simulation-utility,Allows user to run dynamics simulations for solar photovoltaic distributed energy resource connected to a stiff voltage source or to an external program.,tdcosim,https://github.com/tdcosim/SolarPV-DER-simulation-tool.git,github,,Photovoltaics and Solar Energy,"2022/04/28, 17:07:57",25,1,6,true,Python,TDcoSim Team,tdcosim,Python,,"2019/03/19, 21:59:40",1257,CUSTOM,19,216,"2022/04/28, 16:58:01",2,18,32,7,121,0,0.0,0.013986013986013957,,,0,2,false,,false,false,tdcosim/TDcoSim,,https://github.com/tdcosim,,Chicago,,,https://avatars.githubusercontent.com/u/52003368?v=4,,,
bifacial_radiance,Toolkit for working with RADIANCE for the ray-trace modeling of Bifacial Photovoltaics.,NREL,https://github.com/NREL/bifacial_radiance.git,github,"radiance,bifacial,photovoltaics,renewable-energy,renewables,gui",Photovoltaics and Solar Energy,"2022/04/22, 22:20:00",58,0,11,true,Python,National Renewable Energy Laboratory,NREL,"Python,C++,TeX,Dockerfile,C,Shell,Makefile,Awk",https://bifacial-radiance.readthedocs.io,"2017/12/13, 17:56:18",1718,BSD-3-Clause,322,1495,"2022/07/13, 12:04:37",80,128,348,89,45,1,0.0,0.3815907059874888,"2022/03/10, 03:45:11",0.4.1,0,10,false,,false,false,,,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
autoXRD,"A Python package for automatic XRD pattern classification of thin-films, tweaked for small and class-imbalanced datasets.",PV-Lab,https://github.com/PV-Lab/autoXRD.git,github,,Photovoltaics and Solar Energy,"2020/03/04, 18:03:26",38,0,14,false,Python,Accelerated Materials Laboratory for Sustainability,PV-Lab,Python,,"2019/04/23, 19:15:53",1222,Apache-2.0,0,32,"2022/07/13, 12:04:37",0,0,0,0,45,0,0,0.09999999999999998,"2019/05/24, 16:47:16",1.0,0,2,false,,false,false,,,https://github.com/PV-Lab,pv.mit.edu,United States of America,,,https://avatars.githubusercontent.com/u/13911947?v=4,,,
BayesProcess,A Python package for Physics informed Bayesian network inference using neural network surrogate model for matching process / variable / performance in solar cells.,PV-Lab,https://github.com/PV-Lab/BayesProcess.git,github,,Photovoltaics and Solar Energy,"2021/08/18, 14:30:54",27,0,5,false,Jupyter Notebook,Accelerated Materials Laboratory for Sustainability,PV-Lab,"Jupyter Notebook,Python",,"2019/07/09, 04:43:23",1145,MIT,0,17,"2022/07/13, 12:04:37",2,0,0,0,45,0,0,0.23076923076923073,,,0,2,false,,false,false,,,https://github.com/PV-Lab,pv.mit.edu,United States of America,,,https://avatars.githubusercontent.com/u/13911947?v=4,,,
solcore5,"A multi-scale, Python-based library for the modeling of solar cells and semiconductor materials.",qpv-research-group,https://github.com/qpv-research-group/solcore5.git,github,"photovoltaic,semiconductor,solar-cells,python,hacktoberfest",Photovoltaics and Solar Energy,"2022/06/01, 01:44:00",84,3,19,true,Python,Quantum Photovoltaics Research Group,qpv-research-group,"Python,Fortran",https://www.solcore.solar/,"2017/10/29, 20:13:23",1763,CUSTOM,74,788,"2022/06/01, 01:44:01",44,129,175,56,87,1,2.0,0.523102310231023,"2022/04/07, 08:14:36",v5.7.7,7,22,false,,true,true,"ImperialCollegeLondon/sunglass,aidanobeirne/OptiFit,qpv-research-group/rayflare",,https://github.com/qpv-research-group,https://www.qpvgroup.org,"UNSW (Sydney, Australia) and Imperial College London (UK) until 2017",,,https://avatars.githubusercontent.com/u/48552948?v=4,,,
solax,Read energy usage data from the real-time API on Solax solar inverters.,squishykid,https://github.com/squishykid/solax.git,github,"solax,solar,photovoltaic,home-automation,iot,raspberry-pi",Photovoltaics and Solar Energy,"2022/07/31, 11:09:25",40,187,15,true,Python,,,"Python,HTML",,"2019/04/09, 04:14:24",1236,MIT,14,51,"2022/08/27, 19:30:21",12,35,65,25,0,3,0.7,0.26,"2022/04/21, 23:16:15",v0.2.10,0,8,false,,false,false,"iamwillbar/core,bakoorahnin/core,piotr-kubiak/home-assistant,shnolshnol1/core,N-hamdy/home-assistant,mww012/core,Stagie/core,joshuaspence/home-assistant-core,BlockArchitech/home-assistant-core,janekbaraniewski/home-assistant,paulosalgado/core,jamescurtin/home-assistant,jfroy/core,stagietek/core,Linean1/Project1,Asuse420/core,u240/core,charithmadhuranga/core,asucrews/core,constructorfleet/home-assistant-loader,clayauld/home_assistant-core,eltariel/home-assistant-core,classicvalues/core-2,jeroen84/home-assistant,Nyvek/home-assistant,terrorizer1980/core-2,NisaarAgharia/home.AI,TKTF50/core,RubenKelevra/core,rohankumardubey/core,stagietech/stagietech,brett-fitz/core,ismailbaskin/core-1,fopina/hass-core,samsunga3888/hass,k3dt/core,ekmixon/core,seantrue/core,ronaldburns/home-assistant,yxkj2022/python-core,qyl2021/python-core,cabraliebre/core,cnheider/core,Brianspha/home-assistant,btharper/core,kifeo/core,maruel/core,imchipwood/home-assistant,yoki31/core,savonman/core,sshyran/home-assistant-core,huizebruin/core,theyapps/core,mfugate1/core,sjbelisle/core,mikeyhodl/core,alessio-pascolini/core,DivanX10/OpenWRT-and-Home-Assistant,linuxserver/wheelie,jisakiel/home-assistant,fleXible/home-assistant,jenniferliddle/core,cesbit/core,dewgenenny/core,stnert/core,amnnet/core,informaticacba/home-assistant-core,HansAdema/prometheus-solax-exporter,coltoncat/core,Djelibeybi/home-assistant-core,Swissman1/home-assistant,fredrike/home-assistant,JonanOribe/home-assistant,matt-FFFFFF/home-assistant,matholiveira91/home-assistant,austinmroczek/home-assistant,stewart123579/home-assistant-core,SiwatINC/home-assistant-tensorflow,drpreetyrai/IOT-HomeAssistance,nickovs/home-assistant,mcanaleta/home-assistant-core,vsevolodpohvalenko/home-assistant,PlumeSolution/core,Danielhiversen/home-assistant,ahayworth/home-assistant,kerstef/home-assistant-core,vasili8m/core,12DEP/hikg,gjohansson-ST/core,paulmonigatti/home-assistant-core,matkastner/core,Antall/core,lbschenkel/home-assistant,Acidburn0zzz/home-assistant,12DEP/gfgf,12DEP/hik,artchula/home-assistant,therealpedro/core,blastoise186/core,frankhildebrandt/home-assistant,zeehio/home-assistant,kshartman/core,djwmarcx/core,CrossEyeORG/homeassistant,miltos04/core,Cyr-ius/home-assistant,DKAutomater/home-assistant,angelnu/core,Leviosa-Shades/core,Whoerr/core,fpetillo/home-assistant,qdotme/HomeAssistantRepository,thindiyeh/core,OpenPeerPower/core,joncar/home-assistant,piotrs112/home-assistant,bwghughes/octoclient,Vaarlion/core,Odianosen25/home-assistant,anngel78/core,ties/home-assistant,brentmaxwell/home-assistant,ConnectionMaster/home-assistant,lozoli/myio-integration,corbanmailloux/home-assistant-core,NigelRook/home-assistant,glance-/home-assistant,dannysauer/core,Sureshkumartv/core,TheLastGimbus/hass-core,alandtse/home-assistant,Pyhass/core,iracigt/home-assistant,mstovenour/home-assistant-core,jupe/home-assistant,ajk12345-code/home-assistant,derekxxx/core,mshiznitzh/core,crodriguezanton/core,DevSecNinja/core,ms32035/home-assistant,Watemlifts/home-assistant,escoand/home-assistant,keithkyle1989/core,mikeodr/core,sdwilsh/home-assistant,Verbalinsurection/Home-Assistant-core,diederikdevries/ha,Platinumwrist/core,Violet26/home-assistant,magicmatt007/core,Omrisnyk/home-assistant,Vman45/home-assistant,PakapongDev/home-assistant,brianjcarroll8/Home-Assistant-Core,gzsjw/HomeAssistantStudy,peternijssen/home-assistant,ZachT1711/home-assistant,klauern/home-assistant-core,hacf-fr/home-assistant-core,tribut/home-assistant,timmo001/core,phiberoptick/home-assistant,THATDONFC/home-assistant,DarkFox/home-assistant,sampou/homeassistant,artefolio/HomeAssistant,gpalsingh30/home-assistant-core,briangomez2016/core,84KaliPleXon3/home-assistant-core,gagebenne/home-assistant,mahadevanmani/home-assistant,switchpanel/ha-core,yenerhelvacioglu/homeasistant,Abigiris/home-assistant,bhchew/hass,MumiLila/gittest4,nordicenergy/home-assistant,gentoo-mirror/HomeAssistantRepository,onkelbeh/HomeAssistantRepository,Bulbutta/home-away,peterpanfy/homeassistant-sm,Watemlifts/Platform-Integration,Watemlifts/subsystems-,Watemlifts/Alfa,fabiandevia/home,home-assistant/core",,,,,,,,,,
bifacialvf,Bifacial PV View Factor model for system performance calculation.,NREL,https://github.com/NREL/bifacialvf.git,github,,Photovoltaics and Solar Energy,"2022/03/18, 19:09:32",18,0,4,true,Python,National Renewable Energy Laboratory,NREL,Python,https://bifacialvf.readthedocs.io,"2017/12/13, 19:23:14",1718,CUSTOM,36,197,"2022/03/18, 18:54:05",12,25,40,9,162,1,0.0,0.55625,"2022/03/18, 19:03:07",v0.1.8,0,5,false,,false,false,,,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,
