project_name,oneliner,project_namespace,project_url,topics,rubric,last_update,stargazers_count,dominating_languages,organization,languages,homepage,created,license,total_commits_last_year,last_issue_closed,last_released_date,last_release_tag_name,community_development_distribution_score,issue_labels,good_first_issue,contributors,organization_avatar,funding
solcore5,"A multi-scale, Python-based library for the modeling of solar cells and semiconductor materials.",qpv-research-group,https://github.com/qpv-research-group/solcore5.git,"photovoltaic,semiconductor,solar-cells,python,hacktoberfest",Photovoltaics and Solar Energy,"2021/11/03, 05:32:48",71,Python,qpv-research-group,"Python,Fortran",https://www.solcore.solar/,"2017/10/29, 20:13:23",CUSTOM,45,"2021/10/24, 09:49:58","2021/09/18, 20:35:46",v5.7.5,0.4753199268738574,"bug,Documentation,duplicate,enhancement,good first issue,Hacktoberfest,hacktoberfest-accepted,help wanted,invalid,new feature,Next version,performance,question,wontfix",7,21,,
solax,Read energy usage data from the real-time API on Solax solar inverters.,squishykid,https://github.com/squishykid/solax.git,"solax,solar,photovoltaic,home-automation,iot,raspberry-pi",Photovoltaics and Solar Energy,"2021/11/01, 18:07:48",28,Python,,"Python,HTML",,"2019/04/09, 04:14:24",MIT,11,"2021/09/04, 11:21:01","2021/08/17, 03:26:36",v0.2.8,0.11111111111111116,"bug,duplicate,enhancement,good first issue,help wanted,invalid,inverter:x1,inverter:x3,inverter:xhybrid,question,wontfix",0,4,,
solar,Allows for reproducible research both for photovoltaics systems performance and solar radiation.,oscarperpinan,https://github.com/oscarperpinan/solar.git,,Photovoltaics and Solar Energy,"2021/10/18, 22:50:23",30,R,,R,http://oscarperpinan.github.io/solar/,"2013/07/28, 14:14:41",GPL-3.0,4,"2020/05/24, 17:51:32","2014/04/27, 16:47:19",v0.38,0.0,"bug,duplicate,enhancement,invalid,question,wontfix",0,1,,
SolarTherm,Solar thermal power/fuel station performance simulation and optimization using Modelica.,SolarTherm,https://github.com/SolarTherm/SolarTherm.git,"engineering,energy,solar,thermodynamics,optimisation,simulation,modelica,modelica-library",Photovoltaics and Solar Energy,"2021/10/22, 12:59:09",20,Modelica,SolarTherm,"Modelica,Python,C,Shell",,"2015/07/21, 05:23:10",LGPL-3.0,428,"2021/11/03, 07:35:14",,,0.6436031331592689,"bug,duplicate,enhancement,help wanted,invalid,question,wontfix",0,8,,
LibreSolar,Firmware for LibreSolar BMS boards based on bq769x0 or ISL94202.,LibreSolar,https://github.com/LibreSolar/bms-firmware.git,,Photovoltaics and Solar Energy,"2021/10/16, 23:16:02",40,C,LibreSolar,"C,C++,CMake,Shell,Python",https://libre.solar/bms-firmware/,"2016/11/30, 11:19:50",Apache-2.0,54,"2021/11/01, 13:04:02","2021/05/20, 12:46:38",v21.0,0.021276595744680882,"bug,duplicate,enhancement,help wanted,invalid,question,wontfix",0,4,,
Charge Controller Firmware,Firmware for LibreSolar MPPT/PWM charge controllers.,LibreSolar,https://github.com/LibreSolar/charge-controller-firmware.git,,Photovoltaics and Solar Energy,"2021/11/08, 12:19:27",85,C++,,"C++,C,CMake,Batchfile,Shell,Python",https://libre.solar/charge-controller-firmware/,"2016/08/02, 12:03:35",Apache-2.0,60,"2021/06/08, 08:32:06","2021/04/14, 11:02:11",v21.0,0.12085308056872035,"bug,duplicate,enhancement,help wanted,invalid,question,wontfix",0,9,,
pvoutput,Python code for downloading PV data from PVOutput.org.,openclimatefix,https://github.com/openclimatefix/pvoutput.git,"pvoutput,python,python-library,solar,nowcasting",Photovoltaics and Solar Energy,"2021/11/04, 11:09:17",19,Python,openclimatefix,Python,,"2019/07/16, 16:51:03",Apache-2.0,18,"2021/01/11, 16:32:57",,,0.18999999999999995,"bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,Refactoring,testing,wontfix",1,3,,
predict_pv_yield,Use machine learning to map satellite imagery of clouds to solar PV yield.,openclimatefix,https://github.com/openclimatefix/predict_pv_yield.git,nowcasting,Photovoltaics and Solar Energy,"2021/10/27, 15:40:28",19,Jupyter Notebook,,"Jupyter Notebook,Python",,"2020/09/30, 16:46:56",MIT,234,"2021/10/22, 16:04:32",,,0.4564315352697096,"bug,data,discussion,documentation,duplicate,enhancement,good first issue,help wanted,infrastructure/aws,infrastructure/gcp,invalid,machine learning model,performance analysis: baselines & metrics,priority-high,priority-low,question,size-big,size-small,wontfix",1,2,,
solariot,Leverage your IoT enabled Solar PV Inverter to stream your solar energy usage data to a real time dashboard.,meltaxa,https://github.com/meltaxa/solariot.git,"freeboard,iot,solar-energy,sungrow-inverter,dashboard,pvoutput,modbus-sungrow,dweet,influxdb,telemetry",Photovoltaics and Solar Energy,"2021/10/27, 14:12:03",104,Python,,"Python,JavaScript,Dockerfile",https://solariot.live,"2017/09/15, 12:26:12",MIT,52,"2021/09/21, 01:29:21",,,0.42352941176470593,"bug,dependencies,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,7,,
pvanalytics,"Quality control, filtering, feature labeling, and other tools for working with data from photovoltaic energy systems.",pvlib,https://github.com/pvlib/pvanalytics.git,,Photovoltaics and Solar Energy,"2021/07/05, 07:27:46",35,Python,,Python,https://pvanalytics.readthedocs.io,"2020/02/18, 17:10:34",MIT,15,"2021/05/13, 13:11:16","2020/11/20, 15:11:07",v0.1.0,0.10370370370370374,"bug,ci,dependency,documentation,duplicate,enhancement,feature,good first issue,help wanted,invalid,question,tests,wontfix",0,5,,
IonMonger,A free and fast perovskite solar cell simulator with coupled ion vacancy and charge carrier dynamics in one dimension.,PerovskiteSCModelling,https://github.com/PerovskiteSCModelling/IonMonger.git,"perovskite-solar-cells,halide-ion-migration",Photovoltaics and Solar Energy,"2021/10/24, 04:17:41",16,MATLAB,PerovskiteSCModelling,"MATLAB,TeX",https://join.slack.com/t/perovskitescmodelling/shared_invite/zt-q51flyog-KCxed~m9hX_cijghKPGHIg,"2019/08/22, 10:21:56",AGPL-3.0,27,"2021/08/12, 17:32:10","2021/08/17, 16:15:46",v1.4,0.0,"bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,not a bug,question,wontfix",0,1,,
rayflare,"Provide a flexible, user-friendly Python environment to model complex optical stacks, with a focus on solar cells.",qpv-research-group,https://github.com/qpv-research-group/rayflare.git,"physics,optics,raytracing,ray-tracing,rigorous-coupled-wave,transfer-matrix-method,solar-cells,multiscale-simulation",Photovoltaics and Solar Energy,"2021/10/11, 18:49:00",4,Python,,"Python,TeX",,"2019/06/12, 20:01:41",CUSTOM,117,"2021/10/11, 18:48:55","2021/09/24, 12:34:45",v1.0.1,0.0,"bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,1,,
StatisticalClearSky,Statistical estimation of a clear sky signal from PV system power data.,slacgismo,https://github.com/slacgismo/StatisticalClearSky.git,,Photovoltaics and Solar Energy,"2021/09/30, 21:26:17",21,Jupyter Notebook,,"Jupyter Notebook,Python,Shell",,"2018/01/15, 01:38:46",BSD-2-Clause,32,"2021/09/29, 22:10:47","2021/07/01, 19:47:32",v0.4.4,0.323943661971831,"bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,5,,
Photovoltaic_Fault_Detector,Model-definition is a deep learning application for fault detection in photovoltaic plants.,RentadroneCL,https://github.com/RentadroneCL/Photovoltaic_Fault_Detector.git,"yolo3,detector-model,model-detection,detection-boxes,fault-detection,solar-energy,photovoltaic-panels,hacktoberfest,hacktoberfest2020",Photovoltaics and Solar Energy,"2021/08/26, 11:08:48",10,Jupyter Notebook,RentadroneCL,"Jupyter Notebook,HTML,Python",https://rentadrone.cl/developers/photovoltaic-fault-detector/,"2020/01/16, 13:50:45",GPL-3.0,17,"2020/12/18, 19:27:36",,,0.09999999999999998,"bug,dependencies,difficulty: entry level,difficulty: medium,difficulty: moderate,documentation,duplicate,enhancement,good first issue,hacktoberfest,help wanted,invalid,question,wontfix",2,4,,
nasapower,"Aims to make it quick and easy to automate downloading NASA-POWER global meteorology, surface solar energy and climatology data in your R session as a tidy data frame tibble object for analysis and use in modeling or other purposes.",ropensci,https://github.com/ropensci/nasapower.git,"agroclimatology,weather,r,nasa-power,nasa,agroclimatology-data,weather-variables,weather-data,earth-science,rstats,data-access,r-package",Photovoltaics and Solar Energy,"2021/10/28, 08:06:12",73,R,ropensci,"R,TeX",https://docs.ropensci.org/nasapower,"2017/11/02, 06:08:53",CUSTOM,285,"2021/09/13, 12:23:24","2021/08/23, 11:58:17",v4.0.0,0.0012062726176115257,"bug,duplicate,enhancement,good first issue,help wanted,invalid,question,Version 4.0,wontfix",0,2,,
pvcompare,A model for comparing the benefits of different PV technologies in a specified local energy system in different energy supply scenarios.,greco-project,https://github.com/greco-project/pvcompare.git,,Photovoltaics and Solar Energy,"2021/07/28, 07:50:42",10,Python,greco-project,"Python,Fortran,Shell",,"2019/11/28, 09:16:52",AGPL-3.0,983,"2021/07/20, 14:27:30","2021/05/29, 15:29:06",v0.0.3,0.5661680092059839,"bug,decision wanted,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,5,,
SolTrace,A software tool developed at NREL to model concentrating solar power (CSP) systems and analyze their optical performance.,NREL,https://github.com/NREL/SolTrace.git,,Photovoltaics and Solar Energy,"2021/08/29, 13:12:46",23,C++,,"C++,TeX,Inno Setup,CMake,Makefile,Python",https://www.nrel.gov/csp/soltrace.html,"2017/06/29, 15:20:21",CUSTOM,2,"2021/08/06, 20:45:51",,,0.09523809523809523,"bug,documentation,duplicate,enhancement,help wanted,invalid,linux-support,question,wontfix",0,4,,
CarrierCapture.jl,A set of codes to compute carrier capture and recombination rates in semiconducting compounds like solar cells.,WMD-group,https://github.com/WMD-group/CarrierCapture.jl.git,"defects,semiconductors,electronic-structure,materials-design,solar-cells",Photovoltaics and Solar Energy,"2021/10/26, 02:19:02",24,Jupyter Notebook,WMD-group,"Jupyter Notebook,Julia,Python,TeX",https://wmd-group.github.io/CarrierCapture.jl/dev/,"2018/04/23, 12:10:13",MIT,11,"2021/05/06, 23:51:49","2020/03/12, 09:31:02",v0.3,0.5780590717299579,"bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,9,,
honeybee,"A Python library to create, run and visualize the results of daylight (RADIANCE) and energy analysis (EnergyPlus/OpenStudio).",ladybug-tools,https://github.com/ladybug-tools/honeybee.git,,Photovoltaics and Solar Energy,"2021/08/25, 05:31:45",87,Python,ladybug-tools,"Python,Shell,Dockerfile",http://ladybug-tools.github.io/honeybee/docs,"2015/12/24, 23:43:38",GPL-3.0,88,"2021/09/22, 08:09:13","2020/08/13, 22:16:10",v1.0.1,0.2186147186147186,"[+],backlog,bug,core,critical,dependencies,discussion,done,duplicate,energyplus/openstudio,enhancement,good first issue,hacktoberfest,help wanted,honeybee,in progress,invalid,new development,not critical,py3,question,radiance,radiance-pmap,released,todo,triage,wish,wontfix",0,8,,
Open Solar Project,ESP32 Smart Solar Charger.,opensolarproject,https://github.com/opensolarproject/OSPController.git,,Photovoltaics and Solar Energy,"2021/10/26, 06:05:38",137,C++,opensolarproject,"C++,Python",https://github.com/opensolarproject/OSPController/wiki,"2019/08/09, 20:33:23",GPL-3.0,8,"2021/06/23, 13:14:04","2020/06/26, 19:38:24",v2.0,0.011363636363636354,"bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,2,,
MPPT-Solar-Charger,Supporting documentation and software for the MPPT Solar Charger.,danjulio,https://github.com/danjulio/MPPT-Solar-Charger.git,,Photovoltaics and Solar Energy,"2021/10/30, 10:33:37",69,C,,"C,C++,Assembly",,"2018/04/30, 04:48:29",GPL-3.0,2,"2021/01/10, 22:43:46",,,0.0,"bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,1,,
Tonatiuh,A Monte Carlo ray tracer for the optical simulation of solar concentrating systems.,iat-cener,https://github.com/iat-cener/tonatiuh.git,"solar-concentrating-systems,simulation,solar,energy",Photovoltaics and Solar Energy,"2021/11/03, 00:17:28",41,C++,iat-cener,"C++,QMake,Prolog,C,Batchfile",http://iat-cener.github.io/tonatiuh/,"2015/05/08, 10:51:30",GPL-3.0,0,"2020/12/18, 07:26:19","2017/09/15, 07:38:25",v2.2.4,0.07587768969422426,"auto-migrated,bug,Component-Logic,Component-UI,duplicate,enhancement,help wanted,invalid,OpSys-All,OpSys-Linux,OpSys-Windows,Priority-Critical,Priority-High,Priority-Low,Priority-Medium,question,Type-Defect,Type-Enhancement,Type-Other,Usability,wontfix",0,5,,
PV4GER,Aims at democratizing and accelerating the access to photovoltaic systems data in Germany and beyond.,kdmayer,https://github.com/kdmayer/3D-PV-Locator.git,"neurips-2020,solar,renewable-energy,pv-systems,deepsolar,computer-vision,inception-v3,deeplabv3,network-planning,solar-panels,climate-change,ai",Photovoltaics and Solar Energy,"2021/10/31, 00:10:38",16,Python,,Python,,"2021/01/20, 12:47:54",MIT,94,"2021/05/24, 16:03:30",,,0.0,"bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,1,,
PV Free,A public API for PV modeling parameters.,BreakingBytes,https://github.com/BreakingBytes/pvfree.git,,Photovoltaics and Solar Energy,"2021/08/04, 06:21:30",15,Python,BreakingBytes,"Python,HTML",https://pvfree.herokuapp.com/,"2015/02/28, 08:09:30",BSD-2-Clause,4,"2021/03/25, 22:04:45",,,0.0,"bug,dependencies,duplicate,enhancement,help wanted,invalid,question,wontfix",0,3,,
Pysolar,A collection of Python libraries for simulating the irradiation of any point on earth by the sun. It includes code for extremely precise ephemeris calculations.,pingswept,https://github.com/pingswept/pysolar.git,,Photovoltaics and Solar Energy,"2021/11/08, 11:46:42",275,Jupyter Notebook,,"Jupyter Notebook,Python",http://pysolar.org,"2008/03/01, 23:35:48",GPL-3.0,14,"2021/10/28, 19:24:20","2021/09/20, 21:33:11",0.10,0.4196891191709845,help wanted,0,38,,
PV_ICE,"An open-source tool to quantify Solar Photovoltaics (PV) Energy and Mass Flows in the Circular Economy, from a Reliability and Lifetime approach.",NREL,https://github.com/NREL/PV_ICE.git,"circular-economy,circularity-metrics,reliability,solar-energy,circularity,mass-flow,repair,reuse,recycle,photovoltaics,lifetime",Photovoltaics and Solar Energy,"2021/09/24, 20:06:29",8,Python,,Python,https://PV_ICE.readthedocs.io,"2020/03/18, 21:31:34",CUSTOM,308,"2021/08/13, 14:34:08","2021/08/13, 14:35:47",v0.2.0,0.3836206896551724,"bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wishlist,wontfix",0,5,,
Solar electricity Nowcasting,Build the world's best near-term forecasting system for solar electricity generation.,openclimatefix,https://github.com/openclimatefix/nowcasting.git,nowcasting,Photovoltaics and Solar Energy,"2021/10/27, 10:51:47",14,TypeScript,,"TypeScript,JavaScript,CSS",https://openclimatefix.org/projects/nowcasting/,"2020/12/15, 15:40:01",MIT,20,"2021/10/13, 14:24:37",,,0.35,"bug,discussion,documentation,duplicate,enhancement,good first issue,help wanted,infrastructure/aws,infrastructure/gcp,invalid,priority-high,priority-low,question,size-big,size-small,wontfix",0,3,,
Solar Forecast Arbiter,"Core data gathering, validation, processing, and reporting package for the Solar Forecast Arbiter.",SolarArbiter,https://github.com/SolarArbiter/solarforecastarbiter-core.git,,Photovoltaics and Solar Energy,"2021/11/04, 23:23:01",15,Python,SolarArbiter,"Python,Jinja,HTML,TeX,Dockerfile,C",https://solarforecastarbiter-core.readthedocs.io,"2019/01/23, 17:31:36",MIT,46,"2021/11/04, 23:22:58","2021/11/04, 23:28:57",1.0.8,0.49079754601227,"api,bug,datamodel,dependencies,documentation,duplicate,enhancement,good first issue,help wanted,High Priority,infrastructure,invalid,IO,metrics,pvmodel,question,referencefx,reports,testing,trials,validation,wontfix",0,7,,
pv-system-profiler,Estimating PV array location and orientation from real-world power datasets.,slacgismo,https://github.com/slacgismo/pv-system-profiler.git,,Photovoltaics and Solar Energy,"2021/10/15, 10:45:29",6,Jupyter Notebook,,"Jupyter Notebook,Python,Shell",,"2019/04/23, 18:33:36",BSD-2-Clause,425,"2021/10/13, 19:42:00","2021/10/13, 19:42:35",v0.1.4,0.19581749049429653,"bug,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,4,,
IEA-15-240-RWT,A 15 MW reference wind turbine repository developed in conjunction with IEA Wind.,IEAWindTask37,https://github.com/IEAWindTask37/IEA-15-240-RWT.git,,Wind Turbines,"2021/11/04, 10:06:27",108,Roff,IEAWindTask37,"Roff,Python,Scheme,F*",,"2019/10/08, 15:18:15",Apache-2.0,18,"2021/11/04, 05:21:48","2021/02/04, 17:34:11",v1.0,0.6036866359447004,"bug,documentation,duplicate,enhancement,good first issue,help wanted,invalid,question,wontfix",0,9,,
windpowerlib,A library to model the output of wind turbines and farms.,wind-python,https://github.com/wind-python/windpowerlib.git,"wind,energy,power,model,modelling",Wind Turbines,"2021/11/04, 09:34:24",195,Python,wind-python,"Python,Jupyter Notebook",https://oemof.org/,"2016/08/26, 13:50:35",MIT,30,"2021/03/09, 20:32:12","2021/03/09, 16:25:46",v0.2.1,0.37312186978297157,"API,bug,duplicate,enhancement,help wanted,invalid,nice-to-have,question,urgent,wontfix",0,8,,
turbinesFoam,A library for simulating wind and marine hydrokinetic turbines in OpenFOAM using the actuator line method.,turbinesFoam,https://github.com/turbinesFoam/turbinesFoam.git,"openfoam,turbines,airfoils,blade-element,actuator-line,wind-energy",Wind Turbines,"2021/11/02, 14:56:10",52,C++,turbinesFoam,"C++,C,Python,Roff,Shell",,"2014/06/24, 19:30:49",GPL-3.0,13,"2021/11/02, 14:45:47","2019/11/15, 01:53:16",v0.1.1,0.02933088909257564,"bug,Caelus,documentation,duplicate,enhancement,help wanted,idea,in progress,invalid,question,ready,testing,wontfix",0,5,,
nalu-wind,Solver for wind farm simulations targeting exascale computational platforms.,Exawind,https://github.com/Exawind/nalu-wind.git,"low-mach,wind-energy,les,cfd,ecp,exascale-computing,exawind",Wind Turbines,"2021/11/08, 02:55:17",65,C,Exawind,"C,C++,Fortran,CMake,Shell,Python,Dockerfile",https://exawind.org,"2018/05/03, 15:39:32",CUSTOM,145,"2021/11/03, 20:42:56","2021/03/21, 18:48:03",v1.3.0,0.7719298245614035,"bug,build-issues,dependencies,duplicate,enhancement,failing-tests,good first issue,help wanted,invalid,NGP,question,wip-no-merge,wontfix",0,40,,
openfast,"Created with the goal of being a community model developed and used by research laboratories, academia, and industry.",OpenFAST,https://github.com/OpenFAST/openfast.git,,Wind Turbines,"2021/11/08, 19:24:59",313,Fortran,OpenFAST,"Fortran,C++,C,CMake,Python,MATLAB,Makefile,Batchfile,Shell,Dockerfile",http://openfast.readthedocs.io,"2016/08/31, 20:07:10",Apache-2.0,417,"2021/11/08, 14:18:16","2021/06/24, 00:25:18",v3.0.0,0.5888108912997234,"Approved: Update baselines,C++ API,Compiler: GNU,Compiler: Intel,FAST Registry,FAST.Farm,Feature: Linearization,Feature: Usage Support,Help wanted,in progress,MBC3,Module: AeroDyn,Module: BeamDyn,Module: ElastoDyn,Module: ExtPtfm,Module: FEAMooring,Module: HydroDyn,Module: IceDyn,Module: IceFloe,Module: InflowWind,Module: MAP++,Module: MoorDyn,Module: NWTC Lib,Module: OpenFAST Lib,Module: OrcaFlexInterface,Module: ServoDyn,Module: SubDyn,Module: TurbSim,Status: Backlog,Status: In progress,Status: Review,System: CMake,System: MinGW/CygWin,System: Unix,System: Visual Studio,System: Windows,Sytem: MATLAB/Simulink,Type: Bug,Type: Build issue,Type: Compiling Question,Type: Documentation,Type: Enhancement,Type: Question,Type: Testing,Type: Usage question,Won't fix",0,40,,
